Table S6. OTUs greater than 0.3% of the total reads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#OTU ID,CDI04,PXA40,CXA31,CBJ42,CDI11,CBJ34,PBJ07,CXA28,PBJ31,PBJ47,PBJ50,PXA35,PXA38,CBJ29,CBJ37,CBJ45,CDI02,PXA36,CBJ30,CBJ36,CBJ48,CDI10,PBJ68,PBJ61,PBJ16,CBJ40,CXA32,CBJ35,PBJ04,CBJ46,PBJ14,CDI17,PXA13,CDI05,CXA19,PBJ03,PBJ01,CBJ32,PBJ54,PBJ62,PBJ66,CDI01,CDI12,CDI14,CDI18,CXA27,CXA30,PBJ67,CDI03,CXA29,PBJ06,PBJ71,CXA34,CBJ38,CDI13,CDI19,PBJ59,CDI09,CBJ39,PBJ55,PBJ49,PBJ69,PBJ28,CBJ51,PBJ60,PBJ64,CBJ33,PXA39,PBJ24,PBJ63,CDI15,PBJ26,CBJ41,CBJ43,CDI16,PBJ25,PBJ27,PBJ44,PBJ65,PBJ05,PBJ58,PBJ70,taxonomy
851865,595,155,791,196,821,398,3,38,4003,444,1681,2263,2224,17,1638,445,959,90,972,977,7,1213,714,363,907,311,431,565,0,123,106,215,4,1331,1557,1372,3,717,11,3512,84,2594,373,176,1777,344,1091,567,23,142,0,1712,300,108,7,459,672,784,248,680,854,30,2,435,351,14,57,1476,1396,336,136,15,4,20,26,34,4,0,111,1601,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
304777,55,49,43,49,16,39,368,49,70,78,27,19,28,187,119,7,21,18,27,21,97,34,19,20,35,70,81,18,100,12,832,59,79,4,6,44,1,30,177,117,9,17,66,2,50,19,5,13,46,60,372,5,326,60,105,46,60,12,51,17,11,12,84,36,23,37,58,6,15,0,11,537,98,110,13,285,794,20,14,8,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
659361,17,178,11,18,3,0,85,112,0,744,10,0,0,171,173,2,0,0,1,3,114,59,16,0,0,388,1059,6,0,36,2540,3,12,35,0,1,0,3,78,95,0,2,877,0,0,0,0,1,7,5,41,13,166,4,13,53,1,1,39,0,0,1,2,0,4,133,0,2,2,0,3,185,455,328,44,22,605,16,0,1,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__
364903,2416,0,0,9237,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,2,0,1645,2853,127,0,0,0,0,1937,0,0,4,3537,0,0,1,0,0,0,4,1,0,0,0,0,0,5,3420,0,0,2,2,0,2002,9,33,0,0,0,0,0,1545,0,2169,1,0,0,18,0,3921,4,130,0,3,2,0,93,2,0,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
559527,124,1093,319,25,121,48,704,2904,239,12,225,291,831,430,51,394,1059,289,117,65,859,536,66,324,67,1214,839,9,4,1160,1,276,4,509,49,0,0,479,6604,824,928,279,554,66,504,474,454,56,153,528,546,27,1486,44,1576,266,5,1078,98,1099,1098,46,4,671,0,96,108,258,46,49,157,0,119,158,22,0,0,0,0,347,74,0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__longum
513445,23,48,59,0,154,23,0,89,104,63,25,30,630,59,958,16,156,61,55,51,64,330,14,22,106,25,81,222,0,83,11,42,134,289,147,3,1308,23,636,130,6,10,16,3,80,27,77,31,220,163,82,147,274,1462,510,45,64,43,19,2,4,47,92,10,11,29,0,1,0,2,51,3,0,0,2,0,0,0,8,12,0,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
195258,2,2,0,0,6,203,2167,0,464,235,9,3,0,70,1,0,0,663,1515,0,351,0,0,1,139,0,32,12,1526,30,0,17,0,0,0,12,0,1,720,1,11,0,1,1,1,46,0,0,76,223,0,10,0,0,6,2,0,1,4,125,1822,145,183,0,36,4,3,154,1,1,21,0,2,0,2,0,0,0,77,2,0,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__ovatus
264967,0,0,0,0,19,0,2661,81,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,1,2,0,0,0,0,0,116,44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,343,2750,2179,0,0,0,716,0,41,293,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Megasphaera; s__
797229,7,2354,85,93,37,46,1203,26,974,77,892,277,2545,204,202,803,133,316,522,94,175,534,88,84,19,134,844,558,2017,285,1,612,448,14,30,42,168,17,1108,19,140,35,329,151,864,6,23,145,5,198,326,101,13,101,0,1110,3083,55,55,324,117,1075,57,6,19,3141,12,988,553,7,62,1277,1228,1414,1540,3157,6940,4440,56,22,5612,7,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
132041,6,0,0,0,2,0,1817,8,7,0,0,0,15,77,12,35,1,0,0,0,0,8,0,812,0,259,0,0,0,1,140,0,148,78,1,0,0,0,2053,6,14,8,0,0,0,0,5,0,8,0,2,0,51,0,0,1,0,269,0,36,0,0,0,0,0,0,1,0,0,0,0,31,0,1018,0,2081,0,1297,0,0,1793,1,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__
216111,111,65,70,110,151,62,47,0,0,0,96,152,84,0,44,67,147,19,96,70,38,54,60,105,79,2,49,54,0,59,0,1,20,83,18,124,0,143,0,95,17,0,13,50,51,21,104,42,425,36,0,50,501,4,313,34,0,23,65,136,125,115,0,67,24,51,310,158,429,40,50,233,115,1177,6,0,1,0,5,50,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
