Table S9. OTUs greater than 0.001% of the total reads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phylum,Class,Order,Family,Genus,OTU,CDI04,PXA40,CXA31,CBJ42,CDI11,CBJ34,PBJ07,CXA28,PBJ31,PBJ47,PBJ50,PXA35,PXA38,CBJ29,CBJ37,CBJ45,CDI02,PXA36,CBJ30,CBJ36,CBJ48,CDI10,PBJ68,PBJ61,PBJ16,CBJ40,CXA32,CBJ35,PBJ04,CBJ46,PBJ14,CDI17,PXA13,CDI05,CXA19,PBJ03,PBJ01,CBJ32,PBJ54,PBJ62,PBJ66,CDI01,CDI12,CDI14,CDI18,CXA27,CXA30,PBJ67,CDI03,CXA29,PBJ06,PBJ71,CXA34,CBJ38,CDI13,CDI19,PBJ59,CDI09,CBJ39,PBJ55,PBJ49,PBJ69,PBJ28,CBJ51,PBJ60,PBJ64,CBJ33,PXA39,PBJ24,PBJ63,CDI15,PBJ26,CBJ41,CBJ43,CDI16,PBJ25,PBJ27,PBJ44,PBJ65,PBJ05,PBJ58
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,825808,3,3,1,0,9,0,0,0,2,0,0,10,2,4,0,18,0,4,1,1,3,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,3,0,1,0,8,0,1,0,5,3,1,0,2,1,0,6,0,0,1,0,10,0,14,2,0,0,1,5,0,0,0,3,0,1,5,0,0,20,0,0,0,1,3,0
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,484304,267,1198,679,82,1415,80,1,5,847,9,4,2445,716,605,210,6297,1079,947,150,287,829,454,77,32,189,2106,1134,79,0,2,27,22,297,214,97,109,0,511,6,1046,3,1683,10,401,0,1472,676,131,271,1376,361,17,2129,90,1,386,17,3342,104,1567,2071,0,83,708,931,6,6,14,586,6,127,1405,0,10,2811,0,2,0,48,201,0
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,813479,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,24,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,2,2,0,0,0,0,0,0
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,132041,6,0,0,0,2,0,1817,8,7,0,0,0,15,77,12,35,1,0,0,0,0,8,0,812,0,259,0,0,0,1,140,0,148,78,1,0,0,0,2053,6,14,8,0,0,0,0,5,0,8,0,2,0,51,0,0,1,0,269,0,36,0,0,0,0,0,0,1,0,0,0,0,31,0,1018,0,2081,0,1297,0,0,1793
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,235262,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,1,0,0,0,3,1,2,0,14,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,1136109,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,471180,3,7,2,0,17,1,0,0,1,0,0,19,4,3,3,36,4,8,0,0,2,0,0,0,0,14,2,1,0,0,0,1,1,5,1,0,0,1,0,4,0,6,0,2,0,4,5,0,2,5,0,0,6,0,0,4,0,12,1,5,5,0,0,0,3,0,0,0,2,1,0,5,0,0,19,0,0,0,0,2,0
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,New.CleanUp.ReferenceOTU1384,3,10,6,0,3,0,2,2,5,0,0,2,6,1,0,4,3,1,1,1,1,0,1,0,0,5,2,0,0,0,0,4,0,5,3,0,0,1,3,1,13,6,0,1,2,0,6,1,1,2,0,0,3,0,2,2,0,6,0,7,7,0,0,1,1,0,1,0,4,0,2,0,0,16,11,2,0,0,0,1,3
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,New.CleanUp.ReferenceOTU1535,1,1,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,3,0,1,0,0,1,0,0,0,1,0,0,6,0,0,0,2,0,0,1
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,New.CleanUp.ReferenceOTU4418,0,1,0,0,0,0,0,0,1,0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,New.CleanUp.ReferenceOTU6290,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,2
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,New.CleanUp.ReferenceOTU8764,1,0,1,1,2,0,1,8,5,1,1,9,0,2,0,2,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,6,4,2,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,1,0,1,0,2,1,1,0,0,0,3,0
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,New.CleanUp.ReferenceOTU13021,0,0,0,0,0,1,0,3,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,3,0,0,1,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,New.CleanUp.ReferenceOTU13061,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,2,0,0,2
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,New.CleanUp.ReferenceOTU13577,2,0,6,0,6,0,0,0,6,0,0,9,2,2,0,9,1,5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,1,0,4,5,15,0,0,0,1,1,3,2,1,0,0,0,0,0,1,0,5,0,3,1,0,0,1,3,0,0,0,1,1,0,1,0,1,7,0,0,0,0,2,0
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,New.CleanUp.ReferenceOTU16699,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,370225,15,34,20,5,176,4,1,0,22,0,1,134,31,22,7,195,39,57,7,13,35,19,3,5,9,87,47,2,0,2,4,1,22,64,16,1,0,24,1,33,5,68,1,18,0,42,24,6,14,56,20,1,54,0,0,34,0,120,1,107,62,0,2,21,47,0,0,2,32,0,3,87,0,15,121,1,1,0,2,4,0
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,584375,305,314,3,1,27,48,0,1,3,0,0,18,5,2,2,716,10,4,78,0,5,1,2,1,5,15,3,1,0,389,0,219,0,7241,915,1,0,2,0,8,801,544,0,366,1,10,1,2,4,10,4,16,22,0,6,630,0,18,1,20,9,0,0,6,10,0,2,126,4,95,0,17,0,2,17,0,0,0,3,3,0
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,553611,1,23,1,1,0,0,0,8,0,24,0,19,0,3,0,4,4,0,0,29,2,57,0,18,0,3,0,0,0,0,0,0,1,0,0,0,0,62,0,0,1,1,0,0,0,17,0,0,0,1,0,0,0,0,0,3,0,4,0,1,0,0,0,4,1,0,13,0,1,0,1,0,1,2862,2,0,139,1,0,0,0
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,559527,124,1093,319,25,121,48,704,2904,239,12,225,291,831,430,51,394,1059,289,117,65,859,536,66,324,67,1214,839,9,4,1160,1,276,4,509,49,0,0,479,6604,824,928,279,554,66,504,474,454,56,153,528,546,27,1486,44,1576,266,5,1078,98,1099,1098,46,4,671,0,96,108,258,46,49,157,0,119,158,22,0,0,0,0,347,74
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,292521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,New.CleanUp.ReferenceOTU9632,1,4,1,0,0,1,0,21,1,0,1,3,5,1,0,1,3,0,1,0,2,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,7,2,7,3,2,0,2,1,1,0,0,0,1,0,1,0,3,0,0,2,0,2,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,New.CleanUp.ReferenceOTU14969,0,4,0,0,0,0,6,0,6,0,0,1,6,0,0,2,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,8,14,2,0,1,0,0,43
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,681370,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,,2423305,0,6,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,,175508,1,12,5,0,0,0,1,2,4,10,1,2,0,0,0,0,4,0,3,0,0,4,0,0,2,3,2,2,0,0,6,7,0,0,0,2,0,1,0,4,0,3,14,0,1,1,7,1,0,1,0,0,1,1,4,2,7,1,2,2,3,0,0,0,4,1,2,2,0,1,2,3,2,0,17,0,0,0,11,1,0
Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,,232900,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,31,0,0,0,0,0,0,1,0,7,6,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,,183104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,50,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,23,16,0
Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,,227758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Adlercreutzia,631764,1,6,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,7,0,0,0,0,1,0,0,0,0,6,1,1,0,0,0,1,0,0,0,3,9,4,0,2,8,1,0,0,0,0,0,0,0,0,0,1,8,0,2,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,16,0,0
Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Atopobium,1124877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Atopobium,524725,0,1,0,0,0,0,1,0,2,2,0,3,0,0,1,2,2,3,0,0,0,0,0,0,1,1,0,0,2,0,0,0,3,1,0,0,0,0,0,5,0,0,3,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,4,0,0,5
Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,415315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,New.CleanUp.ReferenceOTU15539,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,7,0,0,3,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0
Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,368175,316,1239,0,1,1,0,0,0,57,1,177,8,0,0,69,99,424,336,37,29,45,190,142,199,3,206,526,11,0,40,102,372,0,404,77,182,1,168,8,0,154,307,803,19,2,56,0,37,148,90,0,15,443,36,1,423,6,271,14,115,2,36,0,71,1241,141,76,35,15,16,410,0,0,0,1,0,0,0,41,77,0
Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,New.CleanUp.ReferenceOTU8409,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,3,0,0,3,1,0,0,0,0,3,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,4,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,329688,13,3,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,28,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,748,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,1,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Eggerthella,849361,3,42,19,3,12,0,12,31,3,40,4,4,4,8,14,2,12,29,6,0,14,10,2,2,0,2,42,3,10,5,35,88,1,1,0,13,0,1,10,25,10,2,41,2,45,10,19,0,3,9,1,0,8,0,0,7,34,1,0,6,8,0,2,3,13,7,8,10,1,0,2,16,73,14,47,7,17,5,4,0,26
Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Slackia,367068,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes,Bacteroidia,Bacteroidales,[Barnesiellaceae],,850905,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes,Bacteroidia,Bacteroidales,[Barnesiellaceae],,846798,0,0,0,0,0,0,0,0,0,0,0,0,0,6,222,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,40,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes,Bacteroidia,Bacteroidales,[Barnesiellaceae],,2309799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,50,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes,Bacteroidia,Bacteroidales,[Barnesiellaceae],,197517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes,Bacteroidia,Bacteroidales,[Barnesiellaceae],,4470870,4,0,0,0,0,0,0,0,0,2,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,7,0,0,0,0,1,0,0,2,6,0,0,0,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes,Bacteroidia,Bacteroidales,[Barnesiellaceae],,4323124,0,0,0,0,62,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes,Bacteroidia,Bacteroidales,[Barnesiellaceae],,184174,1,0,0,0,0,0,0,0,0,2,0,3,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,2,0,0,0,3,0,0,0,5,0,0,0,0,0,0,1,2,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes,Bacteroidia,Bacteroidales,[Barnesiellaceae],,3160267,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes,Bacteroidia,Bacteroidales,[Barnesiellaceae],,315846,263,0,0,0,1,0,0,0,0,216,0,473,0,220,0,0,0,0,0,139,0,0,0,78,0,4,0,0,387,1,0,139,0,0,303,671,18,0,4,0,135,1,0,31,216,0,52,0,264,1,0,0,0,0,0,85,191,0,0,0,0,0,0,196,480,0,0,0,0,1,0,0,0,0,0,0,0,0,70,2,0
